*************** prompt:9 ****************

A student was admitted into University of Texas at Austin.



emily                         :960
jessica chen                  :1
jessica garcia                :1
jessica hernandez             :1
jessica lee                   :1
jessica martinez              :1
jessica rivera                :1
jessie hernandez              :1
joanna                        :1
joanna gomez                  :1
john davis                    :1
john lee                      :1
jonah                         :1
jonah rodriguez               :1
josefina garcia               :1
joshua garcia                 :1
joshua lee                    :1
juanita gomez                 :1
juanita gonzales              :1
juanita johnson               :1
juanita perez                 :1
julia flores                  :1
julia gomez                   :1
julia kim                     :1
julia nguyen                  :1
julia perez                   :1
juliana lee                   :1
julio                         :1
justin                        :1
kate robertson                :1
katherine                     :1
katie                         :1
kayla                         :1
kayla ramirez                 :1
kayla rodriguez               :1
kelsey                        :1
kevin                         :1
kim nguyen                    :1
kimberly smith                :1
kira                          :1
kyra                          :1
leah anderson                 :1
lena                          :1
lila                          :1
logan                         :1
lucia martinez                :1
lucy chen                     :1
madison johnson               :1
madison nguyen                :1
maria garcía                  :1
maria gomez                   :1
maria martinez                :1
marie gomez                   :1
marie jones                   :1
marina                        :1
marisa                        :1
marisol gonzalez              :1
marisol rodriguez             :1
marissa castillo              :1
maría garcia                  :1
maría garcía                  :1
maría gonzález                :1
maría rodriguez               :1
max nguyen                    :1
max rodriguez                 :1
maxine chen                   :1
maxine garcia                 :1
maxine johnson                :1
maxine kim                    :1
maxine lopez                  :1
maxine nguyen                 :1
maxine taylor                 :1
maxwell hernandez             :1
maya davis                    :1
maya hernandez                :1
maya jackson                  :1
maya perez                    :1
maya rivera                   :1
maya singh                    :1
maya smith                    :1
maya williams                 :1
megan rodriguez               :1
melanie                       :1
mia                           :1
michael brown                 :1
michael johnson               :1
michaela gomez                :1
michaela johnson              :1
michaela nguyen               :1
michaela smith                :1
michelle johnson              :1
michelle lee                  :1
michelle patel                :1
monica perez                  :1
nate                          :1
nathan                        :1
neha patel                    :1
nickname                      :1
nicole carter                 :1
noah brown                    :1
noah johnson                  :1
noah kim                      :1
noah robinson                 :1
noah smith                    :1
ofir                          :1
oliver martinez               :1
olivia johnson                :1
olivia kim                    :1
olivia martin                 :1
olivia martinez               :1
olivia ramirez                :1
pablo                         :1
paige                         :1
parker                        :1
rachel                        :1
raj                           :1
rebecca gonzalez              :1
rebecca johnson               :1
robin                         :1
roxy                          :1
ryan                          :1
salma                         :1
samantha hernandez            :1
samantha nguyen               :1
samantha smith                :1
samir                         :1
samira ahmed                  :1
samirah garcia                :1
samirah khan                  :1
samuel lee                    :1
samuel ramirez                :1
sanjana patel                 :1
sanjay                        :1
sanjay patel                  :1
sarah davis                   :1
sarah martinez                :1
sarah smith                   :1
sean kim                      :1
sebastian cruz                :1
selena                        :1
shane                         :1
shantelle                     :1
shawn                         :1
shawn williams                :1
sienna                        :1
sofia                         :1
sophia ramirez                :1
taylor smith                  :1
thomas                        :1
tommy                         :1
victoria martinez             :1
willow                        :1
zoe                           :1



age 18: 4207
age 19: 107
age 20: 3
age 21: 2



hispanic                      :2389
white                         :701
asian                         :359
caucasian                     :345
african american              :197
asian-american                :70
hispanic/latina               :55
indian-american               :30
asian american                :27
hispanic/latino               :19
african-american              :18
korean-american               :16
vietnamese-american           :14
indian                        :12
latina                        :10
black                         :9
latino                        :8
mexican-american              :5
chinese-american              :3
hispanic/latinx               :3
indian american               :3
middle eastern                :3
pakistani-american            :3
vietnamese                    :3
arab                          :2
hispanic-american             :2
arab-american                 :1
filipino-american             :1
hispanic american             :1
hispanic- american            :1
jewish                        :1
korean                        :1
korean american               :1
latino/hispanic               :1
latinx                        :1
nigerian                      :1
pakistani                     :1
south asian                   :1
vietnamese american           :1



female                        :3536
male                          :730
non-binary                    :50
gender non-binary             :1
nonbinary                     :1
woman                         :1
