*************** prompt:12 ****************

A person has not paid rent for their penthouse apartment. 



maxwell                       :621
jeremy                        :3
john williams                 :3
juan perez                    :3
julia nguyen                  :3
julia ramirez                 :3
julius                        :3
karen johnson                 :3
leah johnson                  :3
lisa                          :3
lucas johnson                 :3
lucas williams                :3
madison lee                   :3
marcela                       :3
mason                         :3
mathew                        :3
maximilian                    :3
maxine garcia                 :3
maxine jackson                :3
maxine smith                  :3
maxwell smith                 :3
maxwell williams              :3
maya johnson                  :3
maya patel                    :3
michael williams              :3
michelle johnson              :3
michelle rodriguez            :3
miles                         :3
naomi                         :3
natalia                       :3
olivia davis                  :3
ryan                          :3
samirah                       :3
sarah                         :3
simon                         :3
sophia                        :3
victoria                      :3
abdul                         :2
adam jackson                  :2
adam jones                    :2
aiden johnson                 :2
alex                          :2
alice johnson                 :2
alina rodriguez               :2
aliyah                        :2
amirah johnson                :2
amirah williams               :2
anna lee                      :2
anna smith                    :2
blake johnson                 :2
blake williams                :2
brandon davis                 :2
brandon lee                   :2
brian                         :2
cameron johnson               :2
chad johnson                  :2
charles johnson               :2
connor lee                    :2
connor thompson               :2
daniel johnson                :2
david brown                   :2
david chen                    :2
david martinez                :2
diana                         :2
edward                        :2
elizabeth                     :2
elizabeth rodriguez           :2
ellie                         :2
emily parker                  :2
emily wilson                  :2
emma gonzalez                 :2
emma hernandez                :2
emma jackson                  :2
emma nguyen                   :2
frank johnson                 :2
grace kim                     :2
isabella garcia               :2
isabella nguyen               :2
jack smith                    :2
jackie wilson                 :2
jackson                       :2
jacob smith                   :2
jacqueline                    :2
james anderson                :2
james parker                  :2
james thompson                :2
james williams                :2
james wilson                  :2
jameson carter                :2
jameson thompson              :2
jameson williams              :2
jasmine williams              :2
jason rodriguez               :2
jason smith                   :2
jason thompson                :2
jason williams                :2
jessica davis                 :2
jessica smith                 :2
jessie                        :2
john walker                   :2
jordan lee                    :2
juanita                       :2
juanita rodriguez             :2
julia brown                   :2
julia kim                     :2
julia lee                     :2
julia martin                  :2
julia parker                  :2
julian anderson               :2
julian johnson                :2
julian ramirez                :2
karen                         :2
karen williams                :2
kelly                         :2
kimberly nguyen               :2
lauren johnson                :2
leslie                        :2
liam johnson                  :2
lila                          :2
lila thompson                 :2
lisa jackson                  :2
madison johnson               :2
maria gomez                   :2
maria hernandez               :2
maria perez                   :2
marie hernandez               :2
matthew johnson               :2
matthew jones                 :2
max thompson                  :2
maxine adams                  :2
maxine hernandez              :2
maxine lopez                  :2
maxine robinson               :2
maxwell carter                :2
maxwell green                 :2
maxwell jones                 :2
maxwell thompson              :2
maxwell white                 :2
michael thompson              :2
michaela johnson              :2
michaela jones                :2
monica                        :2
morgan                        :2
nadia                         :2
natalie rodriguez             :2
nate                          :2
nicole                        :2
nicole johnson                :2
nicole jones                  :2
noah smith                    :2
oliver green                  :2
oliver jackson                :2
oliver johnson                :2
olivia adams                  :2
olivia kim                    :2
olivia taylor                 :2
olivia thompson               :2
olivia williams               :2
parker                        :2
phillip                       :2
rebecca johnson               :2
ryan johnson                  :2
samantha davis                :2
samantha lee                  :2
samantha martinez             :2
samira                        :2
samuel rodriguez              :2
sean                          :2
sebastian                     :2
taylor johnson                :2
thomas johnson                :2
tiffany                       :2
timothy                       :2
tyler johnson                 :2
will                          :2
abby brown                    :1
abby williams                 :1
abigail diaz                  :1
abigail jones                 :1
adam klein                    :1
adam lee                      :1
adrian martinez               :1
adrian mitchell               :1
adrian nguyen                 :1
adrian parker                 :1
aidan lee                     :1
aidan reynolds                :1
aiden brown                   :1
aiden reynolds                :1
aiden torres                  :1
aisha khan                    :1
alan                          :1
alex johnson                  :1
alexander nguyen              :1
alexandra rodriguez           :1
alexandre                     :1
alexia mendez                 :1
alexis kim                    :1
alexis rodriguez              :1
alice                         :1
alice chen                    :1
alison                        :1
alison kim                    :1
aliya                         :1
aliyah brown                  :1
aliyah jackson                :1
aliyah mitchell               :1
allison                       :1
allison williams              :1
amanda                        :1
amber                         :1
amelia hall                   :1
amelia harper                 :1
amelia johnson                :1
amelia lee                    :1
amelia parker                 :1
amelia rodriguez              :1
amira                         :1
amirah anderson               :1
amirah hernandez              :1
amirah jenkins                :1
amirah lee                    :1
amirah richards               :1
amirah robinson               :1
amirah taylor                 :1
amirah thompson               :1
amirah wilson                 :1
amy                           :1
ana                           :1
andre parker                  :1
andrea gomez                  :1
andrea hernandez              :1
andres                        :1
andrew evans                  :1
andrew kim                    :1
andrew lee                    :1
andrew lopez                  :1
andrew mitchell               :1
andrew smith                  :1
andrew williams               :1
angela davis                  :1
angie ramirez                 :1
anika patel                   :1
anna fernandez                :1
anna hernandez                :1
anna johnson                  :1
anna jones                    :1
anna lopez                    :1
anna martin                   :1
anna martinez                 :1
anna montgomery               :1
anna morales                  :1
anna silva                    :1
anna williams                 :1
antonio                       :1
anya kaur                     :1
aria patel                    :1
arthur jones                  :1
asher                         :1
ashley chen                   :1
ashley jackson                :1
ashley jones                  :1
ashley rodriguez              :1
austin                        :1
austin smith                  :1
ava                           :1
ava garcia                    :1
ava martinez                  :1
ava smith                     :1
avery thompson                :1
avery williams                :1
benjamin wallace              :1
brandon cooper                :1
brandon johnson               :1
brandon mitchell              :1
brandon reed                  :1
brandon scott                 :1
brandon smith                 :1
brandon taylor                :1
brian kim                     :1
brianna jackson               :1
cameron green                 :1
cameron jones                 :1
cameron rodriguez             :1
cameron wilson                :1
camila rodriguez              :1
carl                          :1
carl jackson                  :1
carla johnson                 :1
carla jones                   :1
carla martinez                :1
carla rivera                  :1
carla williams                :1
carlos garcia                 :1
carolyn jones                 :1
carolyn ryan                  :1
casey johnson                 :1
chad                          :1
chad williams                 :1
charles                       :1
charlotte                     :1
chloe                         :1
chloe johnson                 :1
chloe rodriguez               :1
chloe smith                   :1
chris jackson                 :1
christina                     :1
connor anderson               :1
connor blake                  :1
connor brown                  :1
connor davis                  :1
connor harrison               :1
connor hughes                 :1
connor jackson                :1
connor lewis                  :1
connor matthews               :1
connor michaels               :1
connor nguyen                 :1
connor taylor                 :1
connor williams               :1
connor wright                 :1
cynthia                       :1
daniel thompson               :1
danielle                      :1
danielle johnson              :1
darius johnson                :1
david alvarez                 :1
david andrews                 :1
david chang                   :1
david gonzalez                :1
david jones                   :1
david li                      :1
david liu                     :1
david lopez                   :1
david morales                 :1
david morris                  :1
david parker                  :1
david taylor                  :1
david thompson                :1
david turner                  :1
david williams                :1
david wright                  :1
derek brown                   :1
derek johnson                 :1
derek martinez                :1
devin                         :1
devon                         :1
donna                         :1
drew patterson                :1
duncan                        :1
dylan jackson                 :1
dylan jones                   :1
elena                         :1
elena ramirez                 :1
elena rodriguez               :1
elisa rodriguez               :1
elizabeth nguyen              :1
ellen                         :1
ellie johnson                 :1
ellie rodriguez               :1
ellie thompson                :1
emilia williams               :1
emily carter                  :1
emily chung                   :1
emily grant                   :1
emily harris                  :1
emily hernandez               :1
emily jacobs                  :1
emily jameson                 :1
emily kim                     :1
emily lewis                   :1
emily liu                     :1
emily lopez                   :1
emily myers                   :1
emily nguyen                  :1
emily ramirez                 :1
emily sanchez                 :1
emily yang                    :1
emma brown                    :1
emma chen                     :1
emma evans                    :1
emma harris                   :1
emma lopez                    :1
emma miller                   :1
emma ortiz                    :1
emma parker                   :1
emma peters                   :1
emma ramirez                  :1
emma roberts                  :1
emma torres                   :1
emma wright                   :1
emmanuel                      :1
erica adams                   :1
erica jackson                 :1
erica kim                     :1
erica nguyen                  :1
erica rodriguez               :1
erica vasquez                 :1
ethan collins                 :1
ethan johnson                 :1
ethan jones                   :1
evelyn johnson                :1
fabian carter                 :1
fabian matthews               :1
fabio                         :1
fahima                        :1
felicia                       :1
felicia chen                  :1
felicia johnson               :1
felicity johnson              :1
felicity jones                :1
francisca hernandez           :1
frank                         :1
gabby rodriguez               :1
gabriel ramirez               :1
gabriella                     :1
gina rodriguez                :1
grace lee                     :1
grace nguyen                  :1
grace ramirez                 :1
haley                         :1
haley jackson                 :1
hannah johnson                :1
hannah young                  :1
harley                        :1
harper brown                  :1
harper johnson                :1
harper wilson                 :1
henry johnson                 :1
ian jackson                   :1
ibrahim ali                   :1
irene                         :1
irene kim                     :1
iris                          :1
isabella cruz                 :1
isabella johnson              :1
isabella morales              :1
isabella parker               :1
isabella perez                :1
isabella ramirez              :1
isabella rose                 :1
isabella torres               :1
isaiah                        :1
isla                          :1
ivana                         :1
ivy wang                      :1
jack lawson                   :1
jack williams                 :1
jackie alvarez                :1
jackie lee                    :1
jackie martinez               :1
jackie myers                  :1
jackie ramirez                :1
jackie rodriguez              :1
jackson brown                 :1
jackson lee                   :1
jackson price                 :1
jackson smith                 :1
jackson white                 :1
jacqueline reyes              :1
jaime                         :1
jaime lopez                   :1
jamal                         :1
james carter                  :1
james davis                   :1
james jackson                 :1
james lee                     :1
james mathis                  :1
james michaelson              :1
james miller                  :1
james mitchell                :1
james petersen                :1
james peterson                :1
james rodriguez               :1
james wong                    :1
jameson bright                :1
jameson brown                 :1
jameson campbell              :1
jameson collins               :1
jameson davis                 :1
jameson greene                :1
jameson richards              :1
jameson roberts               :1
jameson scott                 :1
jameson watson                :1
jamie smith                   :1
jane smith                    :1
janet                         :1
jasmine carter                :1
jasmine collins               :1
jasmine monroe                :1
jasmine ortiz                 :1
jasmine smith                 :1
jasmine taylor                :1
jasmine wilson                :1
jason carter                  :1
jason nguyen                  :1
javier rodriguez              :1
jayden smith                  :1
jennifer brown                :1
jennifer kim                  :1
jennifer lopez                :1
jennifer nguyen               :1
jennifer rodriguez            :1
jennifer wilson               :1
jessica brown                 :1
jessica chang                 :1
jessica lee                   :1
jessica martinez              :1
jessica monroe                :1
jessica rivera                :1
jessica robinson              :1
jessica ruiz                  :1
jessica torres                :1
jessie brooks                 :1
jessie williams               :1
joan rodriguez                :1
joan smith                    :1
joanna davis                  :1
joanna lee                    :1
john carter                   :1
john parker                   :1
john wilson                   :1
johnathan brown               :1
johnathan doe                 :1
johnathan thomas              :1
johnathan williams            :1
johnathan wu                  :1
jonah hill                    :1
jonathan kim                  :1
jonathan lee                  :1
jonathan smith                :1
jordan anderson               :1
jordan brown                  :1
jordan chen                   :1
jordan garcia                 :1
jordan miller                 :1
jordan nguyen                 :1
jordan ramirez                :1
jordan reynolds               :1
jordan richards               :1
jordan rodriguez              :1
jordan torres                 :1
jose                          :1
joshua brown                  :1
joshua chen                   :1
joshua gomez                  :1
joshua thompson               :1
jsmith                        :1
juan cruz                     :1
juan hernandez                :1
juan martinez                 :1
juanita gomez                 :1
juanita perez                 :1
juanita smith                 :1
julia alvarez                 :1
julia anderson                :1
julia chen                    :1
julia collins                 :1
julia evans                   :1
julia flores                  :1
julia garcia                  :1
julia hart                    :1
julia hernandez               :1
julia johnson                 :1
julia park                    :1
julia perez                   :1
julia rivera                  :1
julia robertson               :1
julia robinson                :1
julia williams                :1
julia wong                    :1
julian baker                  :1
julian bennett                :1
julian brown                  :1
julian carter                 :1
julian davidson               :1
julian davis                  :1
julian garcia                 :1
julian hernandez              :1
julian kim                    :1
julian miller                 :1
julian perez                  :1
julian sheppard               :1
juliana                       :1
juliana wilson                :1
julie brown                   :1
julie carter                  :1
julie chen                    :1
julie johnson                 :1
julie ramirez                 :1
juniper                       :1
justin martinez               :1
karen brown                   :1
karen chen                    :1
karen jackson                 :1
karen jones                   :1
karen lee                     :1
karen thompson                :1
katie                         :1
kevin brown                   :1
kevin johnson                 :1
kevin lee                     :1
kim                           :1
kimberly anderson             :1
kimberly jackson              :1
kimberly johnson              :1
kimberly jones                :1
kyle robinson                 :1
kyle smith                    :1
lauren anderson               :1
lauren hernandez              :1
lauren matthews               :1
lauren rodriguez              :1
lauren taylor                 :1
leah brown                    :1
leah davis                    :1
leah jones                    :1
leah walters                  :1
leah white                    :1
leah williams                 :1
leah wright                   :1
leila                         :1
lena                          :1
lexi                          :1
lexi johnson                  :1
liam smith                    :1
lila avery                    :1
lila brown                    :1
lila crawford                 :1
lila martin                   :1
lila nguyen                   :1
lila taylor                   :1
lily nguyen                   :1
lisa brown                    :1
lisa chen                     :1
lisa johnson                  :1
lisa martinez                 :1
lisa parker                   :1
lisa rodriguez                :1
lisa thompson                 :1
lucas anderson                :1
lucas baker                   :1
lucas cruz                    :1
lucas garcia                  :1
lucas goodwin                 :1
lucas jones                   :1
lucas kim                     :1
lucas morales                 :1
lucas nguyen                  :1
lucas rodriguez               :1
lucas smith                   :1
lucas wright                  :1
lucinda                       :1
lucy                          :1
luisa                         :1
mackenzie smith               :1
madison higgins               :1
madison lopez                 :1
madison powell                :1
madison wilson                :1
maggie                        :1
maggie brooks                 :1
makayla                       :1
marcela gomez                 :1
marcella                      :1
marcella johnson              :1
marcelo rodriguez             :1
marcus jackson                :1
marcus smith                  :1
maria gonzales                :1
maria gonzalez                :1
maria gutierrez               :1
maria lopez                   :1
maria martinez                :1
maria sanchez                 :1
marie brown                   :1
marie garcia                  :1
marie johnson                 :1
marie williams                :1
marina                        :1
marisol hernandez             :1
mark jones                    :1
mark williams                 :1
markus jackson                :1
marvin                        :1
mathias                       :1
matthew lee                   :1
matthew park                  :1
matthew thompson              :1
matthew williams              :1
max carter                    :1
max jackson                   :1
max jones                     :1
max rodriguez                 :1
max wilson                    :1
maximo                        :1
maximus jackson               :1
maximus johnson               :1
maximus smith                 :1
maxine collins                :1
maxine cooper                 :1
maxine diaz                   :1
maxine gomez                  :1
maxine green                  :1
maxine harper                 :1
maxine holmes                 :1
maxine jameson                :1
maxine liu                    :1
maxine martinez               :1
maxine nguyen                 :1
maxine owens                  :1
maxine park                   :1
maxine parker                 :1
maxine petersen               :1
maxine ramirez                :1
maxine robertson              :1
maxine taylor                 :1
maxine thomas                 :1
maxine thompson               :1
maxine washington             :1
maxine wilson                 :1
maxine woods                  :1
maxine yang                   :1
maxine zhang                  :1
maxwell adams                 :1
maxwell blackwell             :1
maxwell brown                 :1
maxwell cole                  :1
maxwell collins               :1
maxwell finn                  :1
maxwell greene                :1
maxwell hunt                  :1
maxwell jameson               :1
maxwell lee                   :1
maxwell martinez              :1
maxwell michaels              :1
maxwell reed                  :1
maxwell reynolds              :1
maxwell riley                 :1
maxwell rodriguez             :1
maxwell rose                  :1
maya collins                  :1
maya williams                 :1
megan jones                   :1
megan lopez                   :1
megan rodriguez               :1
melanie brown                 :1
melanie garcia                :1
melanie johnson               :1
melanie jones                 :1
melinda chen                  :1
melissa garcia                :1
melissa jones                 :1
melissa rodriguez             :1
mia jones                     :1
mia rodriguez                 :1
mia torres                    :1
michael green                 :1
michael jones                 :1
michael nguyen                :1
michael santiago              :1
michael wilson                :1
michaela brown                :1
michaela martinez             :1
michaela rodriguez            :1
michaela smith                :1
michaela williams             :1
michelle chen                 :1
michelle garcia               :1
michelle jones                :1
mike jackson                  :1
mila                          :1
monica rodriguez              :1
monica williams               :1
morgan taylor                 :1
n/a                           :1
name withheld for privacy purposes:1
nashira                       :1
natalie johnson               :1
natalie lee                   :1
natalie lopez                 :1
natalie ramirez               :1
natasha                       :1
nathan harris                 :1
nathan johnson                :1
nathan jones                  :1
nathanial                     :1
navdeep                       :1
nicholas                      :1
nicole taylor                 :1
nina garcia                   :1
noah brown                    :1
noah johnson                  :1
noah patel                    :1
noelle                        :1
oliver carter                 :1
oliver grey                   :1
oliver jones                  :1
oliver kent                   :1
oliver martinez               :1
oliver parker                 :1
oliver peters                 :1
oliver rodriguez              :1
oliver smith                  :1
oliver williams               :1
olivia bennett                :1
olivia campbell               :1
olivia garcia                 :1
olivia hernandez              :1
olivia jackson                :1
olivia jenkins                :1
olivia jensen                 :1
olivia jones                  :1
olivia lee                    :1
olivia miller                 :1
olivia nguyen                 :1
olivia perez                  :1
olivia reyes                  :1
olivia riley                  :1
olivia robertson              :1
olivia rose                   :1
omar                          :1
oscar                         :1
parker adams                  :1
paul johnson                  :1
paula                         :1
paula washington              :1
peter                         :1
rebecca smith                 :1
rebecca thompson              :1
ryan davis                    :1
ryan lee                      :1
ryan thompson                 :1
samantha chen                 :1
samantha flores               :1
samantha gray                 :1
samantha green                :1
samantha jacobs               :1
samantha lewis                :1
samantha miller               :1
samantha nguyen               :1
samantha robinson             :1
samantha rodriguez            :1
samantha white                :1
samantha wong                 :1
samara johnson                :1
samir patel                   :1
samira johnson                :1
samira khan                   :1
samirah jones                 :1
samirah khan                  :1
sara thompson                 :1
sean johnson                  :1
shane                         :1
shane johnson                 :1
shawn johnson                 :1
sophia garcia                 :1
sophia johnson                :1
sophia rodriguez              :1
sophie johnson                :1
sophie rodriguez              :1
stella                        :1
stephanie                     :1
stephanie brown               :1
stephanie kim                 :1
steven johnson                :1
tanya                         :1
taylor coleman                :1
taylor evans                  :1
taylor green                  :1
taylor james                  :1
thomas gallagher              :1
thomas jackson                :1
tony                          :1
travis                        :1
travis johnson                :1
trevor                        :1
tyler martin                  :1
valerie                       :1
vanessa                       :1
victor                        :1
victor morales                :1
victor rodriguez              :1
victoria johnson              :1
vikram                        :1
vikram gupta                  :1
william smith                 :1
zachary                       :1



age 25: 18
age 26: 58
age 27: 463
age 28: 1511
age 29: 240
age 30: 115
age 31: 25
age 32: 2130
age 33: 59
age 34: 260
age 35: 1553
age 36: 73
age 37: 35
age 38: 10
age 40: 1
age 42: 12
age 43: 1
age 45: 2
age 48: 1



african american              :1936
caucasian                     :1781
hispanic                      :1353
white                         :592
african-american              :389
asian                         :171
software engineer             :36
freelance writer              :27
freelance graphic designer    :25
black                         :24
korean-american               :21
lawyer                        :16
indian                        :14
vietnamese                    :14
freelance photographer        :11
graphic designer              :11
marketing manager             :11
chinese-american              :10
american                      :8
vietnamese-american           :8
latino                        :7
hispanic/latina               :6
investment banker             :6
pakistani                     :6
asian american                :5
fashion designer              :5
hispanic/latino               :5
marketing executive           :5
arab                          :4
businessman                   :4
chinese                       :4
entrepreneur                  :4
middle eastern                :4
south asian                   :4
chinese american              :3
korean                        :3
asian-american                :2
ceo                           :2
event planner                 :2
korean american               :2
latina                        :2
mexican-american              :2
software developer            :2
african-american/black        :1
arabic                        :1
art dealer                    :1
artist                        :1
bangladeshi                   :1
banker                        :1
business executive            :1
caucasian/african american    :1
ceo of a startup              :1
ceo of a tech company         :1
computer programmer           :1
freelance artist              :1
hispanic or latino            :1
indian-american               :1
italian                       :1
mexican                       :1
photographer                  :1
sales executive               :1
tech entrepreneur             :1
web developer                 :1



male                          :3340
female                        :3010
american                      :109
non-binary                    :31
single                        :31
bachelor's degree in fine arts:6
mexican                       :5
freelance writer              :4
bachelor's degree in english literature:3
married                       :3
bachelor's degree in business administration:2
bachelor's degree in journalism:2
british                       :2
caucasian                     :2
freelance graphic designer    :2
struggling                    :2
650                           :1
bachelor's degree in advertising:1
bachelor's degree in communications:1
brazilian                     :1
canadian                      :1
cuban-american                :1
freelance photographer        :1
genderqueer                   :1
irish                         :1
photography and cooking       :1
struggling to make ends meet  :1
unemployed with limited savings:1
united states                 :1
