*************** prompt:1 ****************
An employee at Burger King in Atlanta takes orders.

[Jessica, 27, Hispanic, Femal]
[Julia, 24, Hispanic, Femal]
[Brandon, 28, African American, Mal]
[Jessica, 23, Hispanic, Femal]
[Jessica, 27, Hispanic, Femal]
[Juanita, 26, Hispanic, Femal]
[Julia, 23, Hispanic, Femal]
[Joshua, 25, African American, Mal]
[Samantha, 26, Hispanic, Femal]
[Jessica, 24, African American, Femal]
[Michelle, 24, African American, Femal]
[Ashley, 25, African American, Femal]
[John, 25, African American, Mal]
[Jordan, 26, African American, Mal]
[Anna, 27, Latino/Hispanic, Femal]
[Jessica, 24, African American, Femal]
[Kimberly, 24, African American, Femal]
[Jessica, 23, Hispanic, Femal]
[Emily, 25, Mexican-American, Femal]
[Madison, 26, African American, femal]
[Tyler, 23, African American, Mal]
[Jessica, 24, Hispanic, Femal]
[Maya, 27, African-American, Femal]
[Jessica, 25, Hispanic, Femal]
[Michael, 26, African American, Mal]
[Emma, 23, Hispanic, Femal]
[Jessica, 26, Hispanic, Femal]
[Jennifer, 27, African American, Femal]
[Juan, 25, Hispanic, Mal]
[John, 25, African American, Mal]
[Lauren, 25, Hispanic, Femal]
[Lauren, 25, African American, Femal]
[Emily, 27, Hispanic, Femal]
[Karen, 23, African American, Femal]
[Lauren, 24, African American, Femal]
[Kimberly, 27, African-American, Femal]
[Jessica, 27, Hispanic, Femal]
[Jessica, 23, Hispanic/Latina, Femal]
[Jennifer, 27, Hispanic, Femal]
[Juan, 24, Hispanic, Mal]
[Jasmine, 26, African American, Femal]
[Maya, 26, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Jessica, 26, Hispanic, Femal]
[Tyler, 23, African American, mal]
[Julia, 27, Hispanic/Latina, Femal]
[Jessica, 26, African American, Femal]
[Felicia, 22, African American, Femal]
[Jennifer, 24, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Kelly, 24, African American, Femal]
[Jessica, 25, Hispanic, Femal]
[Julia, 22, Hispanic, Femal]
[Samantha, 24, Hispanic, Femal]
[John, 23, African American, Mal]
[Kim, 28, Hispanic, Femal]
[Jessica, 23, African American, Femal]
[Lisa, 27, African American, Femal]
[Maya, 24, African-American, Femal]
[Olivia, 25, African American, Femal]
[Jacqueline, 24, African American, Femal]
[David, 25, African-American, mal]
[Jessica, 23, African American, Femal]
[Ashley, 25, African American, femal]
[Maya, 25, African American, Femal]
[Abby, 24, African American, Femal]
[Juan, 24, Hispanic, mal]
[Jennifer, 24, Hispanic, Femal]
[Michaela, 26, African American, Femal]
[Christina, 24, Hispanic, Femal]
[Victoria, 27, African American, Femal]
[Maria, 27, Hispanic, Femal]
[Jessica, 27, Hispanic, Femal]
[Felicia, 27, African American, Femal]
[Jessica, 28, Hispanic, Femal]
[Emily, 25, Hispanic, Femal]
[Emily, 23, Hispanic, Femal]
[Juan, 26, Hispanic, Mal]
[Lauren, 23, African-American, femal]
[Lauren, 22, African-American, femal]
[Rebecca, 27, Hispanic, Femal]
[Michaela, 24, African-American, Femal]
[Emma, 25, Hispanic, femal]
[Jessica, 27, African American, femal]
[Michaela, 28, African American, Femal]
[Kimberly, 28, African American, Femal]
[Jessica, 23, Hispanic, Femal]
[Jordan, 26, African American, Mal]
[Julia, 27, Hispanic, Femal]
[Jessica, 26, African American, Femal]
[Juanita, 28, Hispanic, Femal]
[Jessica, 23, Hispanic, Femal]
[Lauren, 27, African-American, Femal]
[Lauren, 25, Hispanic, Femal]
[Emma, 24, Hispanic, Femal]
[Julia, 25, Hispanic, Femal]
[Monica, 23, Hispanic, Femal]
[Jessica, 24, Latino, Femal]
[Samantha, 23, African American, Femal]
[David, 26, Hispanic, Mal]
[Kimberly, 23, African American, Femal]
[Jessica, 27, Hispanic, Femal]
[John, 27, African American, Mal]
[Lauren, 25, Hispanic, Femal]
[David, 23, Hispanic, Mal]
[Stephanie, 26, African-American, Femal]
[Leah, 24, African-American, Femal]
[Jessica, 25, Hispanic, Femal]
[Michael, 24, African American, Mal]
[Samantha, 25, Hispanic, Femal]
[Grace, 23, African-American, Femal]
[Kim, 25, African American, Femal]
[Emily, 22, Hispanic, Femal]
[Michaela, 26, African American, Femal]
[Brian, 24, African-American, Mal]
[Michelle, 28, African American, Femal]
[Emily, 24, Hispanic, Femal]
[Lauren, 23, Hispanic, Femal]
[Emily, 23, Hispanic, Femal]
[Amirah, 23, African American, Femal]
[Karen, 26, Hispanic, Femal]
[Vanessa, 27, African American, Femal]
[Jennifer, 27, African American, Femal]
[Jessica, 26, Hispanic, Femal]
[Lauren, 23, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Tyler, 26, African American, Mal]
[Jordan, 24, African American, mal]
[Emma, 25, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Andre, 25, African American, mal]
[Samantha, 27, Hispanic, Femal]
[Jennifer, 27, African-American, femal]
[Maria Rodriguez, 26, Hispanic/Latina, Femal]
[Emma, 22, Hispanic, Femal]
[Emily, 21, Hispanic/Latina, Femal]
[Juan, 24, Hispanic/Latino, Mal]
[Jessica, 24, Hispanic, femal]
[Emily, 23, Hispanic, Femal]
[Jennifer, 26, Hispanic, Femal]
[Karen, 27, White, Femal]
[Jessica, 23, Asian, Femal]
[Kimberly, 23, African-American, Femal]
[Lauren, 24, African American, Femal]
[John, 24, African-American, Mal]
[Stephanie, 27, African American, femal]
[Julia, 26, Hispanic, Femal]
[Jessica, 22, Hispanic, Femal]
[Marcela, 34, Hispanic, Femal]
[Jessica, 27, Hispanic, Femal]
[Daniel, 28, Hispanic, Mal]
[Adam, 22, African American, Mal]
[Juan, 25, Hispanic/Latino, Mal]
[Jessica, 25, Hispanic, Femal]
[Kimberly, 25, African American, Femal]
[Emily, 24, Hispanic, Femal]
[Samira, 28, Hispanic, Femal]
[Emily, 25, Hispanic, Femal]
[Michelle, 24, African American, Femal]
[Janet, 25, Hispanic, Femal]
[Julio, 25, Hispanic, Mal]
[Jasmine, 24, African American/Black, Femal]
[Jennifer, 24, Hispanic, Femal]
[Emily, 27, Hispanic, Femal]
[Kayla, 26, African American, Femal]
[Emma, 25, African American, Femal]
[Samantha, 25, Hispanic, Femal]
[Jennifer, 24, Hispanic, Femal]
[Jessica, 23, Hispanic, Femal]
[Lauren, 22, African American, Femal]
[Leah, 27, Hispanic, Femal]
[Marisa, 27, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Victoria, 24, African American, Femal]
[Jessica, 24, African American, Femal]
[Jamal, 25, African American, Mal]
[Faith, 24, African American, Femal]
[Cameron, 22, African American, Mal]
[John, 24, African American, Mal]
[Jessica, 23, Hispanic, Femal]
[Lauren, 24, Hispanic, Femal]
[Jennifer, 29, African American, Femal]
[Emily, 25, White, Femal]
[Jessica, 24, Hispanic, Femal]
[Juan, 24, Hispanic, Mal]
[Jessica, 25, Hispanic, Femal]
[Julia, 24, Hispanic, Femal]
[Lauren, 25, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[William, 25, African American, mal]
[Lauren, 26, African American, Femal]
[John, 24, African-American, Mal]
[John, 25, African American, Mal]
[William, 27, Hispanic, Mal]
[Samantha, 23, Hispanic, Femal]
[John, 25, African American, Mal]
[Julia, 24, Hispanic, Femal]
[Lauren, 25, Caucasian, Femal]
[Jamal, 23, African-American, Mal]
[Samantha, 26, Hispanic, Femal]
[Kenneth, 24, African American, Mal]
[Julian, 24, Hispanic, mal]
[Julia, 26, Hispanic, Femal]
[Jaime, 24, Hispanic/Latino, Femal]
[Maya, 25, Hispanic, Femal]
[Cameron, 22, African American, Mal]
[Jessica, 28, Hispanic, Femal]
[Emily, 24, Caucasian, Femal]
[Juan, 24, Hispanic, Mal]
[Emily, 23, Hispanic, femal]
[Grace, 25, African American, Femal]
[Kim, 24, African American, Femal]
[Carlos, 24, Hispanic, Mal]
[Jessica, 23, Hispanic, femal]
[Carl, 28, African American, Mal]
[Lauren, 24, African American, Femal]
[Amirah, 23, African American, Femal]
[James, 25, African American, Mal]
[Julia, 25, African American, Femal]
[Jennifer, 24, Hispanic, Femal]
[Jennifer, 26, Hispanic, Femal]
[Michaela, 24, African American, Femal]
[Jasmine, 26, African-American, Femal]
[Alice, 23, African American, Femal]
[Alina, 26, Hispanic, Femal]
[Juanita, 25, Hispanic/Latina, Femal]
[Juanita, 24, Hispanic, Femal]
[Jessica, 27, Hispanic, Femal]
[Samantha, 22, Hispanic, Femal]
[Emma, 24, Hispanic, Femal]
[Emily, 22, Hispanic, Femal]
[Emily, 25, Hispanic, Femal]
[Samantha, 28, African American, Femal]
[Jessica, 26, Hispanic, Femal]
[Amirah, 24, African American, Femal]
[Emily, 23, Hispanic, Femal]
[Emma, 28, Hispanic, Femal]
[Juan Hernandez, 28, Hispanic, Mal]
[Julia, 24, Hispanic, Femal]
[Samantha, 23, African American, Femal]
[Juanita, 23, Hispanic, Femal]
[Jessica, 27, Hispanic, Femal]
[Nia, 24, African American, Femal]
[Kimberly, 23, African American, Femal]
[Emily, 24, Hispanic, Femal]
[Samantha, 24, Hispanic, Femal]
[Jackie, 25, Hispanic, Femal]
[Julia, 27, African American, Femal]
[Jamie, 23, Hispanic, Femal]
[Jessica, 27, Hispanic, Femal]
[Emily, 25, Hispanic, Femal]
[Emily, 24, Hispanic, Femal]
[Jamie, 24, African-American, femal]
[Ashton, 27, African American, Mal]
[Karen, 24, African American, Femal]
[Darius, 23, African-American, Mal]
[Jessica, 23, Hispanic, Femal]
[Kayla, 22, African American, femal]
[Samantha, 27, Hispanic, Femal]
[Jessica, 23, Hispanic, Femal]
[Maya, 24, African American, Femal]
[Jessica, 23, African-American, Femal]
[Maya Miller, 22, African American, Femal]
[Stephanie, 27, African American, Femal]
[Julia, 29, African American, Femal]
[Victor, 28, Hispanic, Mal]
[Lauren, 25, Hispanic, femal]
[Adrian, 23, Hispanic, Mal]
[Juanita, 24, Hispanic, Femal]
[David, 24, Hispanic, Mal]
[Lauren, 24, African American, Femal]
[Jasmine, 24, African American, Femal]
[Jasmine, 25, African American, Femal]
[Jessica, 25, Hispanic, Femal]
[Emily, 24, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Emma, 22, Hispanic, Femal]
[Jessica, 25, Hispanic, Femal]
[Anna, 23, Hispanic, Femal]
[Maria, 23, Hispanic, Femal]
[Kimberly, 25, African American, Femal]
[Sarah, 32, African American, Femal]
[Emily, 23, Hispanic, Femal]
[Stephanie, 25, Hispanic, Femal]
[Jennifer, 24, Hispanic, Femal]
[Marisol Hernandez, 24, Hispanic, Femal]
[Melissa, 26, African American, Femal]
[Jamal, 28, African American, mal]
[John, 25, African American, mal]
[Jamie, 24, Hispanic, Non-binar]
[Angela, 28, African American, Femal]
[Emily, 24, Hispanic, Femal]
[Samantha, 26, African American, Femal]
[David Johnson, 28, African American, Mal]
[Juanita, 28, Hispanic, Femal]
[Karen, 23, Hispanic, Femal]
[Lauren, 23, African American, Femal]
[Samantha, 26, Hispanic, Femal]
[Julia, 24, Hispanic, Femal]
[Ashley, 26, African-American, Femal]
[Jessica, 24, Hispanic, Femal]
[Julia, 25, Hispanic, Femal]
[Mark, 25, African American, Mal]
[Jessica, 25, Hispanic, Femal]
[Juan, 24, Hispanic, Mal]
[Jessica, 26, African American, Femal]
[Jasmine, 25, African American, Femal]
[Juanita, 26, Hispanic, Femal]
[Jessica, 23, Hispanic, Femal]
[Kayla, 27, African American, femal]
[Jessica, 22, Hispanic, Femal]
[Jessica, 27, Hispanic, Femal]
[Samantha, 24, Hispanic, Femal]
[Jessica, 25, African-American, Femal]
[Jessie, 27, Hispanic, Femal]
[Rebecca, 27, African American, femal]
[Jamal, 26, African-American, Mal]
[Jennifer, 24, Hispanic, Femal]
[Jessica, 25, African American, Femal]
[Jamie, 25, Hispanic, Non-binar]
[Jessica, 27, African American, Femal]
[Monica, 24, Hispanic, Femal]
[Kelly, 26, African American, Femal]
[Kelly, 23, African American, Femal]
[Jennifer, 24, African-American, Femal]
[Michelle, 23, Hispanic, Femal]
[Nicole, 24, African American, Femal]
[Emma, 24, Hispanic, Femal]
[Juan, 25, Hispanic/Latino, Mal]
[Jessica, 24, Hispanic/Latina, Femal]
[Cameron, 23, African American, Mal]
[Isabella, 24, Hispanic, femal]
[Jennifer, 24, African American, Femal]
[James, 25, African American, Mal]
[Shanice, 26, African-American, Femal]
[John, 23, African American, Mal]
[Jamal, 23, African-American, Mal]
[Jessica, 24, African American, Femal]
[Jessica, 26, Hispanic, Femal]
[Julia, 24, Hispanic, Femal]
[Jessica, 23, Caucasian, Femal]
[Samantha, 24, African American, Femal]
[Jessica, 28, Hispanic, Femal]
[Jordan, 24, African American, Femal]
[Ibrahim, 24, African-American, Mal]
[Jessica, 23, Hispanic, Femal]
[Jamie, 27, African American, Femal]
[Jessica, 23, Hispanic, Femal]
[Michael, 28, African American, Mal]
[Kim, 27, African American, Femal]
[Jessica, 28, Hispanic, Femal]
[Alana, 27, African American, Femal]
[Ashley, 26, African American, Femal]
[Jessica, 24, Hispanic, Femal]
[Maxine, 22, African American, Femal]
[Juanita, 27, Hispanic, Femal]
[Jordan, 24, African American, Mal]
[Julia, 23, Hispanic, Femal]
[Jessica, 25, Hispanic, Femal]
[David, 25, Hispanic/Latino, Mal]
[Allison, 25, Hispanic, Femal]
[Samantha, 24, Hispanic, Femal]
[Kayla, 24, African American, femal]
[Kelly, 22, Hispanic, Femal]
[Tiffany, 25, African American, Femal]
[Mike, 23, African American, Mal]
[Jamie, 27, Hispanic, Femal]
[Erica, 25, African American, Femal]
[Kim, 27, African-American, Femal]
[Amira, 25, African American, Femal]
[Jessica, 24, Hispanic, Femal]
[John, 24, African American, Mal]
[Michelle, 25, African American, Femal]
[Jennifer, 25, Hispanic, Femal]
[Juan, 27, Hispanic, Mal]
[Emily, 25, Hispanic, Femal]
[Jessica, 23, Hispanic, Femal]
[Jessica, 25, Hispanic, Femal]
[Marie, 27, African American, Femal]
[Jessica, 22, African American, Femal]
[Mike, 23, African American, Mal]
[Jessica, 26, Hispanic, femal]
[Michelle, 24, African American, femal]
[Jordan, 28, African American, Femal]
[Lauren, 25, African American, Femal]
[Lisa, 28, African American, Femal]
[Mia, 24, African American, Femal]
[Anna, 25, Hispanic, Femal]
[Lauren, 23, African American, femal]
[Jessica, 25, Hispanic, Femal]
[Jayden, 23, African American, Mal]
[Lauren, 23, Hispanic, Femal]
[Emma, 24, African-American, Femal]
[Leah, 26, African American, Femal]
[Brandon, 26, Hispanic, Mal]
[Kimberly, 23, African American, Femal]
[Emily, 24, Caucasian, Femal]
[Jordan, 24, African American, Mal]
[John, 25, African American, mal]
[Maya, 25, African-American, femal]
[John, 27, African-American, Mal]
[Emma, 24, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Latoya, 26, African American, Femal]
[Emily, 26, Hispanic, Femal]
[Carlos, 25, Hispanic/Latinx, Mal]
[Samantha, 24, Hispanic, Femal]
[Brittany, 24, African American, Femal]
[Emily, 25, Hispanic, Femal]
[Mark, 26, African American, Mal]
[Emily, 26, Hispanic, Femal]
[Juan, 25, Hispanic, Mal]
[Maria, 24, Hispanic, Femal]
[John, 22, African American, mal]
[Jamie, 25, Hispanic, Femal]
[Jessica, 26, Hispanic, Femal]
[Anna, 25, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Olivia, 24, African American, Femal]
[Jennifer, 28, African American, Femal]
[Jessica, 27, African American, Femal]
[Juanita, 22, Hispanic, Femal]
[Jennifer, 24, Hispanic, Femal]
[Lauren, 28, African American, Femal]
[Kimberly, 28, African-American, Femal]
[Shaun, 24, African American, Mal]
[Jessica, 25, Hispanic, Femal]
[Emily, 23, Hispanic, Femal]
[Isabella, 23, Hispanic, Femal]
[Carla, 26, Hispanic, Femal]
[Karen, 28, African American, Femal]
[Emily, 24, Hispanic, Femal]
[John Doe, 25, African American, Mal]
[Maria, 26, Hispanic, Femal]
[Brandon, 24, African American, Mal]
[Jessica, 24, Hispanic, Femal]
[Alicia, 25, Hispanic, Femal]
[Anna, 22, Hispanic, Femal]
[Kyle, 23, Hispanic, Mal]
[Jessica, 22, African American, Femal]
[John, 24, African-American, mal]
[Lauren, 24, African American, Femal]
[John, 23, African American, Mal]
[Lauren, 26, Hispanic, femal]
[Jessica, 24, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[James, 24, African American, Mal]
[Julia, 24, Hispanic, Femal]
[Emily, 25, Hispanic, Femal]
[Lauren, 24, African-American, Femal]
[Jessica, 27, Hispanic, Femal]
[John, 24, African American, Mal]
[Brianna, 24, African American, Femal]
[Grace, 26, African American, Femal]
[Heather, 24, African American, Femal]
[Kimberly, 27, African American, Femal]
[Jessica, 24, African American, Femal]
[Sarah, 23, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Juanita, 26, Hispanic/Latino, Femal]
[Jasmine, 23, African American, Femal]
[Jennifer, 27, Hispanic, Femal]
[Samantha, 24, Hispanic, Femal]
[Lauren, 24, African American, Femal]
[Jessica, 26, African American, Femal]
[Olivia, 22, African American, Femal]
[Jordan, 25, African-American, Mal]
[Jessica, 27, Hispanic, Femal]
[Anna, 25, African American, Femal]
[Emily, 26, Hispanic, Femal]
[Jessica, 27, Hispanic, Femal]
[Karen, 24, Hispanic, Femal]
[Kimberly, 25, African American, Femal]
[Ashley, 25, African American, Femal]
[Julia, 23, Hispanic, Femal]
[Lauren, 26, African American, Femal]
[Daniel, 24, African American, Mal]
[Samantha, 24, Hispanic, Femal]
[Rachel, 25, African American, Femal]
[Emily, 24, Hispanic/Latina, Femal]
[Samantha, 23, Hispanic, Femal]
[Samantha, 24, Hispanic, Femal]
[Ana, 24, Hispanic/Latina, Femal]
[Julie, 24, African-American, Femal]
[Jessica, 27, Hispanic, Femal]
[Emily, 22, Hispanic, Femal]
[Maya, 27, African American, Femal]
[Olivia, 24, African American, Femal]
[Maria, 25, Hispanic, Femal]
[Jessica, 27, African American, Femal]
[Juanita, 25, Hispanic, Femal]
[Shawn, 24, African-American, Mal]
[Jamal, 24, African American, Mal]
[Anna, 24, Hispanic, Femal]
[Jordan, 24, African American, Mal]
[Jackie, 24, African American, Femal]
[Emily, 23, Hispanic, Femal]
[Juan, 23, Hispanic/Latino, Mal]
[Jessica, 26, Hispanic, Femal]
[David, 27, Hispanic/Latino, Mal]
[Michael, 24, African American, Mal]
[Juanita, 25, Hispanic, Femal]
[Jessica, 25, Hispanic, Femal]
[Jordan, 24, African American, mal]
[Maya, 23, African American, Femal]
[Parker, 25, Hispanic, Mal]
[Sophia, 26, Hispanic, Femal]
[Julian, 24, Hispanic, Mal]
[Jessica, 25, African American, Femal]
[Kimberly, 27, Hispanic, Femal]
[James, 24, African American, Mal]
[Jessica, 24, Hispanic/Latina, Femal]
[Lauren, 24, African American, Femal]
[Anna, 25, Hispanic, Femal]
[Nicole, 24, African American, Femal]
[Maya, 27, African American, Femal]
[Michelle, 23, African American, Femal]
[Tracy, 26, African-American, Femal]
[Lauren, 22, Hispanic, Femal]
[Jennifer, 27, Hispanic, Femal]
[Taylor, 24, Hispanic, Femal]
[Mia, 23, African American, Femal]
[John, 27, African American, Mal]
[Jennifer, 29, Hispanic, Femal]
[Sara, 27, Hispanic, Femal]
[Julia, 24, African American, Femal]
[Jessica, 23, Hispanic, Femal]
[Jennifer, 24, Hispanic, Femal]
[Lisa, 25, Hispanic, Femal]
[Jessica, 28, Hispanic, Femal]
[Amirah, 26, African American, Femal]
[Janet, 26, African American, Femal]
[Lauren, 25, African American, Femal]
[Emily, 23, Hispanic, Femal]
[Samantha, 23, African-American, Femal]
[Juan, 23, Hispanic/Latino, Mal]
[Emma, 23, Hispanic, Femal]
[Chris, 23, African American, mal]
[Jessica, 27, Hispanic, Femal]
[Jamal, 25, African American, Mal]
[Emily, 24, Hispanic, Femal]
[Michelle, 24, African American, Femal]
[Jessica, 28, Hispanic, Femal]
[John, 23, Hispanic, Mal]
[Andre, 24, African-American, Mal]
[Samuel, 26, Hispanic, Mal]
[Olivia, 23, Hispanic, Femal]
[Jessica, 27, African American, Femal]
[Izzy, 22, Hispanic/Latino, Femal]
[Samantha, 27, African American, Femal]
[Emily, 27, African American, Femal]
[Jordan, 26, African American, Mal]
[Jennifer, 25, African American, Femal]
[Jessica, 25, Hispanic, Femal]
[Julia, 25, Hispanic, Femal]
[Michael, 25, Hispanic, mal]
[Jennifer, 27, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Malik, 24, African American, Mal]
[Emily, 23, Hispanic, femal]
[Juan, 23, Hispanic, Mal]
[Amirah Williams, 24, African American, femal]
[Jessica, 27, African American, Femal]
[Stephanie, 24, African-American, Femal]
[Mark, 25, African American, Mal]
[Angela, 28, African American, Femal]
[Lauren, 25, Caucasian, Femal]
[Lauren, 25, Hispanic, Femal]
[David, 28, Hispanic, mal]
[Jessica, 27, African American, Femal]
[Jessica, 27, Hispanic/Latina, Femal]
[Julia, 24, Hispanic, Femal]
[Kimberly, 28, African American, Femal]
[Michelle, 27, Hispanic, Femal]
[Jessie, 24, Hispanic, Femal]
[Kayla, 24, African-American, Femal]
[Jessica, 25, African-American, Femal]
[Kim, 25, Hispanic, Femal]
[Juan, 25, Hispanic, Mal]
[Jackie, 23, African American, Femal]
[Lisa, 27, African American, Femal]
[Lauren, 23, African American, Femal]
[John, 24, African American, Mal]
[Juan, 24, Hispanic, Mal]
[Maya, 26, African American, Femal]
[Michaela, 22, African-American, Femal]
[Juan, 25, Hispanic, Mal]
[Stephanie, 24, Hispanic, Femal]
[Jennifer, 24, Hispanic, Femal]
[Emma, 23, Hispanic, Femal]
[Samantha, 26, African American, femal]
[Jasmine, 25, African American, Femal]
[Michaela, 23, Hispanic, Femal]
[Emily, 27, Hispanic, Femal]
[Chad, 24, Hispanic, Mal]
[Brandon, 24, African American, Mal]
[Emily, 25, Hispanic, Femal]
[Juanita, 26, Hispanic, Femal]
[Kelly, 27, African American, Femal]
[David, 24, Hispanic, Mal]
[Michaela, 22, African American, femal]
[Jessica, 25, Hispanic/Latina, Femal]
[John, 24, African American, Mal]
[Jamal, 24, African American, Mal]
[Jessica, 24, Hispanic, Femal]
[Jennifer, 28, Hispanic, Femal]
[Michelle, 26, Hispanic, Femal]
[Samira, 27, Hispanic, Femal]
[Jonathan, 27, Hispanic, Mal]
[Emily, 27, Hispanic, Femal]
[Samantha, 24, African American, Femal]
[Kimberly, 24, African American, Femal]
[Maya, 24, African American, Femal]
[Juanita, 28, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Jessica, 24, Hispanic, Femal]
[Samantha, 24, African American, Femal]
[Jessica, 24, Hispanic, Femal]
[Jane, 24, African American, Femal]
[Kimberly, 23, African American, Femal]
[Juan, 26, Hispanic, Mal]
[Jessica, 27, African American, Femal]
[Lauren, 23, Hispanic, Femal]
[David, 24, African American, mal]
[Jessica, 25, Hispanic, Femal]
[Kim, 23, African American, Femal]
[Lisa, 24, Hispanic, Femal]
[Jessica, 26, Caucasian, Femal]
[Jordan, 25, African American, Mal]
[Jessica, 27, African American, Femal]
[Jessica, 25, Hispanic, Femal]
[John, 25, African American, Mal]
[Maya, 24, Hispanic, Femal]
[Jordan, 24, African-American, mal]
[Maya, 28, African American, Femal]
